UT-time,pixel-0,FoE,FoF1,FxF1,FoF2,FxF2,OFoE,OFoF1,OFxF1,OFoF2,OFxF2,F3,F3,NOTES,,,,,,,
1912,,,,,,,,,,4237,4723,,,F traces too weak to scale,,,,,,,
1914,,,,,,,,,,4221,4717,,,,,,,,,,
1916,,,,,,,,,,4260,4736,,,,,,,,,,
1918,,3060,3900,4393,4179,4662,,,,4292,4785,,,,,,,,,,
1920,,3089,3900,4412,,4678,,,,4393,4827,,,,,,,,,,
1922,,3105,3890,4428,,4704,,,,4422,4852,,,,,,,,,,
1924,,3112,3955,,,,,,,4422,4824,3631,,,,,,,,,
1926,,3177,3909,,,,,,,4282,4749,,,,,,,,,,
1928,,3209,3890,4406,4188,,,,,4279,4717,,,,,,,,,,
1930,,3206,3880,4402,4140,4613,,,,4263,4720,3465,,,,,,,,,
